Character,Sentence,Word,POS,Tag,Dependency
DOBBY,"dobby has heard of your greatness , sir , but never has he been asked to sit down by a wizard , like an equal .","['dobby', 'has', 'heard', 'of', 'your', 'greatness', ',', 'sir', ',', 'but', 'never', 'has', 'he', 'been', 'asked', 'to', 'sit', 'down', 'by', 'a', 'wizard', ',', 'like', 'an', 'equal', '.']","['NOUN', 'AUX', 'VERB', 'ADP', 'PRON', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'CCONJ', 'ADV', 'AUX', 'PRON', 'AUX', 'VERB', 'PART', 'VERB', 'ADP', 'ADP', 'DET', 'NOUN', 'PUNCT', 'ADP', 'DET', 'ADJ', 'PUNCT']","['NN', 'VBZ', 'VBN', 'IN', 'PRP$', 'NN', ',', 'NN', ',', 'CC', 'RB', 'VBZ', 'PRP', 'VBN', 'VBN', 'TO', 'VB', 'RP', 'IN', 'DT', 'NN', ',', 'IN', 'DT', 'JJ', '.']","['nsubj', 'aux', 'ROOT', 'prep', 'poss', 'pobj', 'punct', 'npadvmod', 'punct', 'cc', 'neg', 'aux', 'nsubjpass', 'auxpass', 'conj', 'aux', 'xcomp', 'prt', 'prep', 'det', 'pobj', 'punct', 'prep', 'det', 'pobj', 'punct']"
HARRY,you can ’ t have met many decent wizards then .,"['you', 'can', '’', 't', 'have', 'met', 'many', 'decent', 'wizards', 'then', '.']","['PRON', 'AUX', 'PUNCT', 'PROPN', 'AUX', 'VERB', 'ADJ', 'ADJ', 'NOUN', 'ADV', 'PUNCT']","['PRP', 'MD', ""''"", 'NNP', 'VB', 'VBN', 'JJ', 'JJ', 'NNS', 'RB', '.']","['nsubj', 'aux', 'punct', 'nsubj', 'aux', 'ROOT', 'amod', 'amod', 'dobj', 'advmod', 'punct']"
DOBBY,"no , i haven ’ t .","['no', ',', 'i', 'haven', '’', 't', '.']","['INTJ', 'PUNCT', 'PRON', 'VERB', 'PUNCT', 'NOUN', 'PUNCT']","['UH', ',', 'PRP', 'VBP', ""''"", 'NN', '.']","['intj', 'punct', 'nsubj', 'ROOT', 'punct', 'dobj', 'punct']"
DOBBY,that was an awful thing to say .,"['that', 'was', 'an', 'awful', 'thing', 'to', 'say', '.']","['PRON', 'AUX', 'DET', 'ADJ', 'NOUN', 'PART', 'VERB', 'PUNCT']","['DT', 'VBD', 'DT', 'JJ', 'NN', 'TO', 'VB', '.']","['nsubj', 'ROOT', 'det', 'amod', 'attr', 'aux', 'relcl', 'punct']"
DOBBY,bad dobby !,"['bad', 'dobby', '!']","['ADJ', 'NOUN', 'PUNCT']","['JJ', 'NN', '.']","['amod', 'ROOT', 'punct']"
HARRY,"stop , dobby !","['stop', ',', 'dobby', '!']","['VERB', 'PUNCT', 'VERB', 'PUNCT']","['VB', ',', 'VB', '.']","['ROOT', 'punct', 'conj', 'punct']"
DOBBY,bad dobby !,"['bad', 'dobby', '!']","['ADJ', 'NOUN', 'PUNCT']","['JJ', 'NN', '.']","['amod', 'ROOT', 'punct']"
HARRY,"dobby , shh !","['dobby', ',', 'shh', '!']","['NOUN', 'PUNCT', 'NOUN', 'PUNCT']","['NN', ',', 'NN', '.']","['ROOT', 'punct', 'npadvmod', 'punct']"
DOBBY,baaad dobby !,"['baaad', 'dobby', '!']","['PROPN', 'PROPN', 'PUNCT']","['NNP', 'NNP', '.']","['compound', 'ROOT', 'punct']"
HARRY,"dobby , please stop !","['dobby', ',', 'please', 'stop', '!']","['VERB', 'PUNCT', 'INTJ', 'VERB', 'PUNCT']","['VB', ',', 'UH', 'VB', '.']","['advcl', 'punct', 'intj', 'ROOT', 'punct']"
